Time,Xpos,Ypos,Zpos
4.66,-0.101970656173126,0.0153207701708437,84.0400142136461
4.66,-0.101970656173126,0.0153207701708437,84.0400142136461
4.66,-0.101970656173126,0.0153207496729921,84.0400142138131
4.68,-0.102931519308651,0.0154671339207994,84.7954814942974
4.68,-0.102931519308651,0.0154671339207994,84.7954814942974
4.68,-0.102931519308651,0.0154671339207994,84.7954814942974
4.7,-0.103898130255022,0.0156139225765859,85.5544138225973
4.7,-0.103898130255022,0.0156139225765859,85.5544138225973
4.7,-0.103898130255022,0.0156139225765859,85.5544138225973
4.72,-0.104870477593156,0.0157611291729076,86.3168097614815
4.72,-0.104870477593156,0.0157611291729076,86.3168097614815
4.72,-0.104870477593156,0.0157611291729076,86.3168097614815
4.72,-0.104870336989929,0.0157611079369565,86.3168097616561
4.74,-0.105847951616543,0.0159087636179459,87.0826706547819
4.74,-0.105847951616543,0.0159087636179459,87.0826706547819
4.74,-0.105847951616543,0.0159087636179459,87.0826706547819
4.76,-0.106831116632542,0.016056816635306,87.8519996220798
4.76,-0.106831116632542,0.016056816635306,87.8519996220798
4.76,-0.106831116632542,0.016056816635306,87.8519996220798
4.78,-0.107820658832829,0.0162052803224068,88.6247983632644
4.78,-0.107820658832829,0.0162052803224068,88.6247983632644
4.78,-0.107820658832829,0.0162052803224068,88.6247983632644
4.8,-0.108816172880246,0.0163541509694487,89.4010676842002
4.8,-0.108816172880246,0.0163541509694487,89.4010676842002
4.8,-0.108816172880246,0.0163541509694487,89.4010676842002
4.8,-0.108816172880246,0.0163541509694487,89.4010676842002
4.82,-0.109816678432573,0.0165034097434056,90.180805577532
4.82,-0.109816678432573,0.0165034097434056,90.180805577532
4.82,-0.109816678432573,0.0165034097434056,90.180805577532
4.84,-0.11082236422175,0.0166530597928982,90.9640133786198
4.84,-0.11082236422175,0.0166530597928982,90.9640133786198
4.84,-0.11082236422175,0.0166530597928982,90.9640133786198
4.86,-0.111834410879229,0.0168031092981207,91.7506957771508
4.86,-0.111834410879229,0.0168031092981207,91.7506957771508
4.86,-0.111834410879229,0.0168031092981207,91.7506957771508
4.86,-0.111834410879229,0.0168031092981207,91.7506957771508
4.88,-0.1128528516759,0.0169535336701469,92.5408515188476
4.88,-0.1128528516759,0.0169535336701469,92.5408515188476
4.88,-0.1128528516759,0.0169535336701469,92.5408515188476
4.9,-0.113876329409976,0.0171043321349069,93.3344804769383
4.9,-0.113876329409976,0.0171043321349069,93.3344804769383
4.9,-0.113876329409976,0.0171043321349069,93.3344804769383
4.92,-0.114906250387786,0.017255484166134,94.1315862503318
4.92,-0.114906250387786,0.017255484166134,94.1315862503318
4.92,-0.114906250387786,0.017255484166134,94.1315862503318
