Time,Altitude,Downrange
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.52,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,92.82,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
0.96,93.12,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.43,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,93.74,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.06,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.04,94.38,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,94.71,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.05,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.39,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.12,95.74,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.09,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.45,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,96.82,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.2,97.19,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.57,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,97.95,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.34,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.28,98.73,0
1.36,98.73,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.14,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.54,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,99.96,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.36,100.38,0
1.44,100.38,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,100.8,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.23,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,101.67,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.44,102.11,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,102.56,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.02,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.48,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.52,103.95,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.42,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,104.9,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.39,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.6,105.88,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.37,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,106.88,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.39,0
1.68,107.9,0
