Time,Altitude (m),Downrange (m)
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54293.99,21609.24
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54322.99,21621.46
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54351.98,21633.6
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.49,54380.98,21645.83
70.57,54380.98,21645.83
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54409.97,21658.05
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
